TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR,POSTSEASON,SEED
Utah St.,WAC,34,26-8,115.1,94.9,0.9021,55.1,46.1,16.3,17.6,33.4,27,29.6,29.7,52,44.7,41.6,32.5,61.8,-0.4,2010,12,R64
UTEP,CUSA,33,26-7,107.2,89.5,0.8881,52.8,44.6,18.7,22.3,28.9,30.2,39.6,43.2,53.4,43.4,34.3,31.3,69.3,2.1,2010,12,R64
New Mexico St.,WAC,33,21-12,110,104.3,0.6485,53.2,51.1,17.8,18.5,29.9,34.2,38,32,51.4,49.8,37.5,35.7,71.7,-2.3,2010,12,R64
Northern Iowa,MVC,33,22-11,108.5,98.9,0.7438,51.6,48.7,18.5,17,28.5,26.7,41.9,31.8,51.5,46.3,34.4,35,62.2,-1.7,2009,12,R64
Temple,A10,34,21-13,111.2,98.9,0.7928,54.1,49.1,19.1,19.3,28.5,32.4,35.3,31.8,53.3,46.5,36.9,35.7,65.6,-1.7,2008,12,R64
George Mason,CAA,34,23-11,108,98.7,0.738,52.3,47.5,18.7,18.4,32,27.9,39.8,27,52.4,46.4,34.7,33.2,63.7,-3.6,2008,12,R64
California,P12,34,24-10,109,93.3,0.8571,51.7,46.5,18.2,19.4,32,27.2,34.1,26.7,50.9,45.3,36.3,32.9,66.8,1.8,2012,12,R68
UAB,CUSA,31,22-9,107.1,95.1,0.7965,50.8,45.9,19.3,19.2,33.4,30.6,29.7,32.4,50.3,45.7,34.2,31,63.1,-0.2,2011,12,R68
Richmond,A10,37,29-8,111.1,96.3,0.8383,53.1,45.1,16.3,19.4,28.6,33.4,32.3,29.3,49.9,44.8,39.1,30.6,63.3,1.8,2011,12,S16
Cornell,Ivy,32,27-5,116.7,100.7,0.8453,56.5,48.1,18.6,20.7,32.1,29.9,29.1,38.5,51.1,46.6,43.2,34.3,65.7,1.9,2010,12,S16
Arizona,P10,35,21-14,117.7,100.5,0.861,53,51,19.4,18.4,35.9,34.4,37.5,25.1,51,50,38.7,34.9,65.7,0.8,2009,12,S16
Villanova,BE,35,22-13,107.9,93.5,0.838,49.1,51.1,20.5,23.6,36.2,31,38.9,46.4,47.8,48.6,34.4,36.5,69.4,0.3,2008,12,S16
Western Kentucky,SB,34,29-7,109.6,95.6,0.8283,53.6,47.2,20.2,24.9,36.7,33.4,36,48.8,51.1,46.2,39,32.9,69.6,0.2,2008,12,S16
Morehead St.,OVC,32,22-10,103.6,98.5,0.6405,50.6,49.6,23.3,22.6,41.1,27.8,40.6,37.8,49.8,46.3,34.8,36.7,64.5,-3.6,2011,13,R32
Murray St.,OVC,34,29-5,106.3,94.5,0.7944,55.2,44,21.5,23.8,39.2,32.8,42,34.7,54.3,41,38.1,34,67,0,2010,13,R32
Cleveland St.,Horz,34,23-11,103.6,92.6,0.784,46.9,46.4,18.9,24.4,33.5,33.8,36.6,37.7,47.4,45.2,30.4,32.8,65,-1.4,2009,13,R32
Siena,MAAC,34,23-11,106.8,99.2,0.7008,50.5,51.8,15.5,23.9,31.4,36.5,36.3,25.4,48.1,49.5,37.4,37.6,69.2,-3.8,2008,13,R32
San Diego,WCC,35,22-14,100,94.4,0.6602,49.4,49,21.4,22.7,32.1,30.5,35.7,33.7,48.8,48.3,33.9,33.7,65.3,-3.9,2008,13,R32
Davidson,SC,32,24-8,110.6,98.9,0.782,50.9,47.2,17.2,17.5,35,27,36.8,41.7,51.2,45.9,33.7,33.9,68.3,-0.4,2012,13,R64
New Mexico St.,WAC,34,24-10,106.3,97.4,0.7332,51,48.3,20.8,20.4,40.6,29.7,51.9,32.8,51.6,48.1,32.8,32.5,70.8,-2,2012,13,R64
Montana,BSky,30,23-7,101,95.1,0.665,52.5,45.3,18.5,22.1,27.4,31.6,39.5,39,50.4,43.3,38.2,33.3,65.6,-1.7,2012,13,R64
Belmont,ASun,35,30-5,110.2,93.5,0.8685,54.2,46.1,19.7,27.3,37.4,32.1,38.1,46.2,52.2,44.1,37.8,33.6,69.3,1,2011,13,R64
Oakland,Sum,34,24-10,116.5,103.7,0.7918,55.8,49.5,18.6,16.5,36.4,32,39.1,31.1,55.9,47.5,37.2,36.2,72.7,0.3,2011,13,R64
Princeton,Ivy,31,24-7,105.8,97.3,0.724,52,47.1,18.7,18.3,31.1,26.9,36.7,35.4,50.5,46,36.9,33.3,63.8,-0.3,2011,13,R64
Siena,MAAC,34,27-7,107.5,95.5,0.7974,49.3,48,17.4,21.6,35.5,29.5,38.7,21.4,49.7,47.4,32.1,32.8,70.8,0.9,2010,13,R64
Wofford,SC,34,25-9,103.5,93.8,0.7562,49.1,46.5,18.3,21.3,33.6,29.2,44.1,35.7,47.7,46.8,34.8,30.6,64.5,-1.9,2010,13,R64
Houston,CUSA,34,18-16,111.3,101.6,0.7414,48.1,51.2,12.4,23.1,30.5,38.5,33.9,39.6,45.2,51.7,35.6,33.4,72.6,-6.4,2010,13,R64
Mississippi St.,SEC,35,22-13,107.4,95,0.8037,50,44.7,19.9,19,31.2,35.8,41.1,29.5,47.4,42.1,35.9,33.7,68.6,-1.7,2009,13,R64
Akron,MAC,35,22-13,101.9,94.6,0.6995,48.1,45.5,20.7,26.4,34.3,36.2,36.2,45.7,46.9,46.2,33.2,29.4,65.8,-5.4,2009,13,R64
Portland St.,BSky,30,20-10,107.1,104,0.5825,53.5,51,19.8,21.4,32.7,32.6,29.8,32.6,51.1,50.4,37.6,34.8,66.4,-3.9,2009,13,R64
Oral Roberts,Sum,32,24-9,102.1,92.8,0.749,49.9,44.8,19.2,20.7,33.1,31.3,40.7,29.5,47.1,42.6,36.8,33.7,65.7,-0.9,2008,13,R64
Winthrop,BSth,32,22-12,96.3,90.9,0.6608,49.6,46.6,19.8,23.3,33.2,29.2,35.6,33.6,46.7,46.7,37.2,31,63.5,-4.2,2008,13,R64
Ohio,MAC,36,28-8,105.6,93.5,0.8021,48.9,47.1,19.3,26.2,33.8,34.2,36.3,42.5,47.7,48.3,34,30,66.9,0.3,2012,13,S16
Ohio,MAC,36,21-15,106.2,98.8,0.6958,49.4,46.8,18.1,21.6,31.2,34.2,41.1,35.7,46.4,47.1,36.5,30.7,70.2,-7.8,2010,14,R32
Belmont,ASun,34,26-8,115.3,99,0.8526,55.5,48.3,17.6,20.7,34.4,32,38.7,35.6,54.4,47.1,38.1,33.8,67.9,0.8,2012,14,R64
St. Bonaventure,A10,32,20-12,110.9,96.4,0.8336,50.8,47.1,21.5,19,36.4,29.6,42.1,37.3,50.4,46.2,34.5,32.6,64.4,-1.1,2012,14,R64
BYU,WCC,33,24-9,103.5,92.5,0.7858,52,47.7,18.1,21.5,30,26.8,36.5,34.3,51.9,47.8,34.9,31.6,72.9,0.3,2012,14,R64
South Dakota St.,Sum,33,25-8,111.3,99.7,0.7795,53.7,50,15.8,19.2,30.3,28.6,39.6,29.8,50.8,50.4,39,32.6,66.1,-0.6,2012,14,R64
Wofford,SC,34,21-13,111,102,0.724,53,49.8,18,20.2,34.1,32.4,42,41.5,50.4,48.8,40,34.8,64.8,-4.6,2011,14,R64
Indiana St.,MVC,33,19-14,102.2,95.9,0.6769,48.8,46.3,21.4,19.4,31.2,30.2,38,45.8,46.3,44.5,35.4,33.2,66.1,-4.2,2011,14,R64
Bucknell,Pat,34,25-9,102.9,96.8,0.6681,50.9,45.4,16.9,17.7,25.2,29,34.1,35,46.7,44.1,40,31.7,66,-2.2,2011,14,R64
Saint Peter's,MAAC,34,20-14,93.6,90.9,0.5831,45.5,42.4,22.9,21.6,32.1,34.3,38.9,42.1,42.7,40.7,34.4,30.6,65.1,-5.9,2011,14,R64
Sam Houston St.,Slnd,29,21-8,109.2,100.8,0.7137,53.7,50.2,18.8,21,33.6,30.1,38.7,41.2,51.9,50.4,37.6,33.3,70.2,-2.5,2010,14,R64
Montana,BSky,30,20-10,104.2,99.9,0.6186,54.2,47.6,19.1,19.5,30.2,29.6,36.8,38.8,51.9,44.8,39.3,36,63.1,-4.6,2010,14,R64
Oakland,Sum,33,24-9,106.2,103.3,0.5808,49,50.3,19.7,18.4,36.9,31.1,41.1,32.4,49.8,50,31.6,33.9,70.3,-1.1,2010,14,R64
North Dakota St.,Sum,31,24-7,112.6,101.6,0.7641,54.2,49.8,16.8,18.5,32.5,27.6,37.3,29.7,51.5,48.5,40.3,35.6,69.1,-0.8,2009,14,R64
Stephen F. Austin,Slnd,28,20-8,94.2,88.7,0.6676,47.4,42.8,17.8,21.9,26.4,28.3,29,38.3,47.8,43.1,31,27.9,63.5,-2.5,2009,14,R64
Cornell,Ivy,29,19-10,106.3,101.2,0.6381,53.5,46.5,19.5,19.9,32.6,30.3,32.4,33.9,50.1,46.8,40.2,30.5,66.9,-4.8,2009,14,R64
American,Pat,32,24-8,103.2,99.1,0.6139,53.7,45.2,21.2,20.8,31.5,29.6,31.8,35.9,52.2,43,37.4,33,61.8,-2.3,2009,14,R64
Georgia,SEC,33,17-17,103.2,94.7,0.7281,47.8,48.1,21.8,19,37.2,31.6,32.1,33.6,47.1,49.1,32.9,30.9,66.6,-3.9,2008,14,R64
Cal St. Fullerton,BW,32,23-9,109.1,101.8,0.6879,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,52.3,51.2,38.4,37,74.1,-3.2,2008,14,R64
Cornell,Ivy,27,22-6,107.4,103.8,0.5973,55.4,49.1,19.9,20.9,28.6,31.3,33.8,34.6,52.5,46.3,40.4,36.5,69.8,-1.2,2008,14,R64
Boise St.,WAC,33,25-9,105.8,102.4,0.593,57.1,50.3,21.2,19.5,30.4,29.4,39.7,33.6,56.2,49.1,39.2,35.2,72.9,-2.4,2008,14,R64
Iona,MAAC,33,25-8,113.1,102.4,0.7585,56.5,51.1,17.4,22.2,32.1,32.3,30.3,28.8,55.7,50.1,38.7,35.4,71,0,2012,14,R68
Lehigh,Pat,34,26-8,106.1,97.9,0.7145,50.4,47.2,16.5,21.3,31.2,29.6,38,33.7,49.4,45.9,34.7,33.2,68.5,-1.3,2012,15,R32
Norfolk St.,MEAC,34,25-9,98.1,100,0.4456,49.4,46.4,21,19.5,33.7,33,42.5,37.3,50.4,46.1,31.5,31.3,67.8,-2.8,2012,15,R32
Detroit,Horz,34,20-14,106.2,101.4,0.6286,48,50.9,19.1,22.4,35.2,32.6,43.3,38.9,49.7,48.6,29.2,36.9,67.9,-5.2,2012,15,R64
Loyola MD,MAAC,33,24-9,102.1,98.9,0.5908,47.2,47.8,20.6,22,38.1,33.4,42.9,39.9,45.8,45.4,33.9,36.1,64.6,-1.5,2012,15,R64
Akron,MAC,35,22-13,101.5,97.8,0.6065,49.6,46.7,17.5,20.5,28.1,32.7,31.2,38.6,46.9,46,35.9,32.1,67.1,-5.6,2011,15,R64
